Type,Year,energy,protein,carbohydrate,fiber,fat,saturatedFat,cholesterol,vitaminA,thiamin,riboflavin,niacin,vitaminB6,folate,vitaminB12,vitaminC ,vitaminK,calcium,phosphorus,magnesium,iron,zinc,copper,selenium,potassium,sodium
NHW,2013-01,2129,82700,248000,16600,83400,27200,282,666,1.64,2.28,26.4,2.2,0.533,0.00504,76.1,0.1237,997,1410,307,14.5,11.3,1.2,0.1153,2697,3505
NHW,2011-01,2209,82200,265000,18300,83800,27400,274,731,1.67,2.29,26.1,2.2,0.582,0.00569,80.7,0.1349,1029,1441,320,16,11.7,1.4,0.1121,2870,3574
NHW,2009-01,2150,83300,257000,17300,81400,26900,268,682,1.7,2.3,26.2,2.14,0.559,0.00573,86,0.1092,1070,1456,315,15.6,12.3,1.3,0.1128,2868,3627
NHW,2007-01,2142,82100,257000,16100,82500,27700,287,639,1.66,2.3,25.3,2.01,0.544,0.00541,79,0.099,968,1366,301,15.4,12.4,1.4,0.1095,2720,3478
NHW,2005-01,2219,86000,261000,16100,85600,29000,290,676,1.76,2.43,26.7,2.1,0.561,0.00585,83.6,0.0988,1006,1402,313,16.6,13.1,1.4,0.1129,2832,3597
NHW,2003-01,2226,83100,269000,15700,85400,28400,281,635,1.7,2.38,24.8,1.9,0.55,0.00521,82.4,0.0922,922,1364,287,16,12.3,1.3,0.1093,2804,3530
NHW,2001-01,2238,82800,274000,16200,85400,27700,285,638,1.66,2.33,23.2,1.92,0.564,0.00558,89.4,0.0914,911,1375,289,15.9,12.3,1.3,0.1092,2833,3486
NHB,2013-01,2230,82500,266000,15400,86500,26900,320,564,1.52,1.79,26,2.03,0.478,0.00473,82.2,0.1248,821,1306,278,14.1,10.5,1.1,0.1191,2449,3513
NHB,2011-01,2187,81100,266000,15200,83300,25600,305,548,1.48,1.74,25.3,1.97,0.479,0.00472,93.2,0.1317,858,1292,281,14,10.5,1.3,0.1153,2462,3536
NHB,2009-01,2102,79700,254000,13600,78800,25200,311,555,1.46,1.73,24.1,1.91,0.464,0.0049,92.4,0.0976,828,1235,261,14,10.9,1.2,0.1083,2364,3358
NHB,2007-01,2085,76700,249000,13100,81400,25900,310,563,1.42,1.83,23.5,1.81,0.467,0.00494,102.3,0.1118,788,1148,248,13.9,10.6,1.2,0.1031,2219,3270
NHB,2005-01,2146,80300,262000,13200,82000,26600,303,519,1.48,1.87,24.1,1.84,0.46,0.00486,100.4,0.1098,788,1180,255,14.6,11.2,1.2,0.1064,2352,3337
NHB,2003-01,2125,77100,257000,12300,81500,25900,306,484,1.42,1.75,22.1,1.65,0.443,0.00427,99.7,0.1003,665,1119,228,13.8,11,1.1,0.1021,2226,3194
NHB,2001-01,2200,79700,272000,13400,81300,24900,312,623,1.52,1.81,23,1.78,0.497,0.00549,103.3,0.1072,642,1169,241,14.3,10.9,1.3,0.1046,2343,3288
HIS,2013-01,2204,89200,267000,19700,83200,26800,327,587,1.64,2.14,27.5,2.36,0.541,0.00487,88.6,0.1099,1020,1482,318,15.1,11.6,1.2,0.1213,2695,3603
HIS,2011-01,2211,89900,275000,19400,80500,25800,314,550,1.67,2.12,27.7,2.38,0.589,0.00525,93.9,0.0967,999,1483,315,16.7,12,1.3,0.1229,2780,3654
HIS,2009-01,2124,84200,273000,18400,73100,23600,298,525,1.63,1.94,25.4,2.11,0.53,0.00468,100.9,0.0734,969,1422,307,14.8,11.2,1.3,0.1145,2711,3417
HIS,2007-01,2104,83400,263000,17200,74900,24300,310,536,1.61,2.05,24.6,2,0.517,0.00514,92.7,0.0757,914,1320,296,14.9,11.9,1.3,0.112,2596,3269
HIS,2005-01,2195,85400,262000,15900,83800,28100,295,634,1.7,2.31,26,2.04,0.543,0.00564,87.5,0.0988,961,1365,305,16.2,12.8,1.4,0.1122,2754,3531
HIS,2003-01,2216,82900,269000,15500,84000,27700,289,601,1.66,2.26,24.4,1.87,0.539,0.0051,87.3,0.0925,880,1334,281,15.8,12.1,1.3,0.1093,2724,3478
HIS,2001-01,2216,82000,275000,16000,83200,26800,287,613,1.62,2.2,22.9,1.88,0.555,0.00548,94.3,0.0902,859,1336,281,15.6,12,1.3,0.1082,2745,3418
