Fruits	potassium	magnesium	vitaminA	carbohydrate	fiber	zinc	calcium
kiwi	35.5	15.04	0	40.26	34.19	4.18	11.97
passion-fruit	39.6	25.66	0.06	64.69	100.71	2.99	19.95
papayas	20.71	18.58	0.05	29.94	1.18	2.39	25.94
figs	26.4	15.04	0.14	53.07	31.99	4.48	10.97
mangos	19.12	8.85	0.05	41.45	17.65	2.69	21.95
grapefruit	15.36	7.96	0.06	29.49	17.65	2.09	4.99
litchis	19.46	8.85	0.01	45.74	14.34	2.09	39.90
orange	22.3	12.39	0.06	42.89	49.64	3.28	4.99
bannana	40.74	23.89	0.03	63.2	162.5	1.67	11.97
avacados	39.94	21.24	0.07	21.64	350	4.44	33.92
